track_name,streams,URL
"Heat Waves",30702064,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
"STAY (with Justin Bieber)",26178156,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
"Enemy (with JID) - from the series Arcane League of Legends",25356579,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
abcdefu,25078024,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
MAMIII,23135757,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
"Cold Heart - PNAU Remix",22740664,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
"INDUSTRY BABY (feat. Jack Harlow)",21191885,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
"Easy On Me",19736755,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
Desesperados,19550632,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
Shivers,17917602,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
