track_name,streams,URL
"Heat Waves",30825272,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
Envolver,30080391,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI
"STAY (with Justin Bieber)",24933132,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
"Plan A",24746212,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
"Enemy (with JID) - from the series Arcane League of Legends",22829588,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
"Cold Heart - PNAU Remix",20985644,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
abcdefu,20279217,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
"INDUSTRY BABY (feat. Jack Harlow)",19060926,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
MAMIII,18289343,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
Desesperados,17344371,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
