Country,Song,Singer,Link
Australia,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Austria,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Argentina,Plan A, Paulo Londra,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
Belarus,showdown,shadowraze,https://open.spotify.com/track/48fzAdCxamFYCHNXXLk6zn
Belgium,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Bolivia,Plan A, Paulo Londra,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
Brazil,sentaDONA (Remix) s2,Davi Kneip,https://open.spotify.com/track/3sd2p4kE7xQmFH3lPnFl6h
Bulgaria,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Canada,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Chile,Me Arrepenti,Ak4:20,https://open.spotify.com/track/40w8JmvwYUP2HUiXPxjy99
Colombia,Pantysito,Alejo,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
Costa Rica,Plan A, Paulo Londra,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
Cyprus,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Czech Republic,Hannah Montana,Calin,https://open.spotify.com/track/2sXnat46y10FtAbW2A0ira
Denmark,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Dominican Republic,El Coba,Rochy RD,https://open.spotify.com/track/1lh3TDFVCmgOE6szIPwoIK
Ecuador,Una Noche en Medellin, Cris Mj,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
Egypt,
El Salvador,Lo Siento BB:/,Tainy,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
Estonia,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Finland,haluun takas mun perhoset,pehmoaino,https://open.spotify.com/track/3bIKi7iQ8lnX5oA8xILBon
France,RENCONTRE,Disiz,https://open.spotify.com/track/2toEys3zZ8rRB242Na7FZh
Germany,Sehnsucht,Miksu,https://open.spotify.com/track/1W1N3usYjgI3XGQA0iX9Vq
Greece,Loyal,FLY LO,https://open.spotify.com/track/1eEoV4y3nT116m0rKrU055
Guatemala,Fuera del mercado,Danny Ocean,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
Honduras,X ULTIMA VEZ,Daddy Yankee,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
Hong Kong,Dear My Friend,Keung To,https://open.spotify.com/track/11IqNbLOD4s4nVYSuEttFR
Hungary,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Iceland,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
India,Excuses,Ap Dhillon,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
Indonesia,Hati-Hati di Jalan,Tulus,https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl
Ireland,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Israel,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Italy,Shakerando,Rhove,https://open.spotify.com/track/4EC028SvtlC25iHQSG2OIa
Japan,(ベテルギウス)Betelgeuse,Yuuri,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR
Kazakhstan,Kok tu, Irina Kairatovna,https://open.spotify.com/track/1tVJ6OAOSN5D7e0kwrhdqc
Latvia,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Lithuania,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Luxembourg,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Malaysia,Still Life,Big Bang,https://open.spotify.com/track/3TSLqZssCoCdDlMhCJ08XW
Mexico,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Morocco,MAAK,Tagne,https://open.spotify.com/track/4g1AKn1RwrNmCUTzl6pSI3
Netherlands,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
New Zealand,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Nicaragua,Lo Siento BB:/,Tainy,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
Nigeria,Kwaku the Traveller,Black Sherif,https://open.spotify.com/track/7pXNFEzqeZB8rIbcFtYTop
Norway,Dans Pa Bordet,Ballinciaga,https://open.spotify.com/track/56kyGGwLIVAR30ZFiASn8Q
Panama,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Paraguay,Plan A,Paulo Londra,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
Peru,Plan A,Paulo Londra,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
The Philippines,Pano,Zack Tabudlo,https://open.spotify.com/track/08MFgEQeVLF37EyZ7jcwLc
Poland,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Portugal,DANCARINA,PEDRO SAMPAIO,https://open.spotify.com/track/5zNxUkUW9WiV5oyg6gh2wB
Romania,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Saudi Arabia,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
