Date_S,Spotify,Date_A,Apple Music
Mar-15,18,Oct-15,6.5
Jun-15,22,Jan-16,10
Sep-15,24,Feb-16,11
Dec-15,28,Mar-16,12
Mar-16,30,Apr-16,13
Jun-16,36,May-16,14
Sep-16,40,Jun-16,15
Dec-16,48,Aug-16,16
Mar-17,52,Sep-16,17
Jun-17,59,Dec-16,20
Sep-17,62,Jun-17,27
Dec-17,71,Sep-17,30
Mar-18,75,Mar-18,38
Jun-18,83,Apr-18,40
Sep-18,87,May-18,50
Dec-18,96,Nov-18,56
Mar-19,100,Jun-19,60
Jun-19,108,Dec-19,69
Sep-19,113,Jun-20,72
Dec-19,124,Jun-21,78
Mar-20,130,,
Jun-20,138,,
Sep-20,144,,
Dec-20,155,,
Mar-21,158,,
Jun-21,165,,
Sep-21,172,,
Dec-21,180,,
