date,type,number
3/1/15,spotify,18
6/1/15,spotify,22
9/1/15,spotify,24
12/1/15,spotify,28
3/1/16,spotify,30
6/1/16,spotify,36
9/1/16,spotify,40
12/1/16,spotify,48
3/1/17,spotify,52
6/1/17,spotify,59
9/1/17,spotify,62
12/1/17,spotify,71
3/1/18,spotify,75
6/1/18,spotify,83
9/1/18,spotify,87
12/1/18,spotify,96
3/1/19,spotify,100
6/1/19,spotify,108
9/1/19,spotify,113
12/1/19,spotify,124
3/1/20,spotify,130
6/1/20,spotify,138
9/1/20,spotify,144
12/1/20,spotify,155
3/1/21,spotify,158
6/1/21,spotify,165
9/1/21,spotify,172
12/1/21,spotify,180
10/1/15,apple,6.5
1/1/16,apple,10
2/1/16,apple,11
3/1/16,apple,12
4/1/16,apple,13
5/1/16,apple,14
6/1/16,apple,15
8/1/16,apple,16
9/1/16,apple,17
12/1/16,apple,20
6/1/17,apple,27
9/1/17,apple,30
3/1/18,apple,38
4/1/18,apple,40
5/1/18,apple,50
11/1/18,apple,56
6/1/19,apple,60
12/1/19,apple,69
6/1/20,apple,72
6/1/21,apple,78
